model,actual_label,predicted_label,count
SVM_RBF,thumb,home,0
SVM_RBF,thumb,lb,0
SVM_RBF,thumb,left,0
SVM_RBF,thumb,leftrunning,0
SVM_RBF,thumb,lt,0
SVM_RBF,thumb,paper,0
SVM_RBF,thumb,rb,0
SVM_RBF,thumb,right,0
SVM_RBF,thumb,rock,0
SVM_RBF,thumb,rt,0
SVM_RBF,thumb,scissors,0
SVM_RBF,thumb,thumb,200
SVM_RBF,thumb,up,0
SVM_RBF,up,clasp,0
SVM_RBF,up,down,0
SVM_RBF,up,home,0
SVM_RBF,up,lb,0
SVM_RBF,up,left,0
SVM_RBF,up,leftrunning,0
SVM_RBF,up,lt,0
SVM_RBF,up,paper,0
SVM_RBF,up,rb,0
SVM_RBF,up,right,0
SVM_RBF,up,rock,0
SVM_RBF,up,rt,0
SVM_RBF,up,scissors,0
SVM_RBF,up,thumb,0
SVM_RBF,up,up,174
KNN_5,clasp,clasp,233
KNN_5,clasp,down,0
KNN_5,clasp,home,0
KNN_5,clasp,lb,0
KNN_5,clasp,left,0
KNN_5,clasp,leftrunning,0
KNN_5,clasp,lt,0
KNN_5,clasp,paper,0
KNN_5,clasp,rb,0
KNN_5,clasp,right,0
KNN_5,clasp,rock,0
KNN_5,clasp,rt,0
KNN_5,clasp,scissors,0
KNN_5,clasp,thumb,0
KNN_5,clasp,up,0
KNN_5,down,clasp,0
KNN_5,down,down,161
KNN_5,down,home,0
KNN_5,down,lb,0
KNN_5,down,left,0
KNN_5,down,leftrunning,0
KNN_5,down,lt,0
KNN_5,down,paper,0
KNN_5,down,rb,0
KNN_5,down,right,0
KNN_5,down,rock,0
KNN_5,down,rt,0
KNN_5,down,scissors,0
KNN_5,down,thumb,0
KNN_5,down,up,0
KNN_5,home,clasp,0
KNN_5,home,down,0
KNN_5,home,home,198
KNN_5,home,lb,0
KNN_5,home,left,0
KNN_5,home,leftrunning,0
KNN_5,home,lt,0
KNN_5,home,paper,0
KNN_5,home,rb,0
KNN_5,home,right,0
KNN_5,home,rock,0
KNN_5,home,rt,0
KNN_5,home,scissors,0
KNN_5,home,thumb,0
KNN_5,home,up,0
KNN_5,lb,clasp,0
KNN_5,lb,down,0
KNN_5,lb,home,0
KNN_5,lb,lb,180
KNN_5,lb,left,0
KNN_5,lb,leftrunning,0
KNN_5,lb,lt,0
KNN_5,lb,paper,0
KNN_5,lb,rb,0
KNN_5,lb,right,0
KNN_5,lb,rock,0
KNN_5,lb,rt,0
KNN_5,lb,scissors,0
KNN_5,lb,thumb,0
KNN_5,lb,up,0
KNN_5,left,clasp,0
KNN_5,left,down,0
KNN_5,left,home,0
KNN_5,left,lb,0
KNN_5,left,left,144
KNN_5,left,leftrunning,0
KNN_5,left,lt,0
KNN_5,left,paper,0
KNN_5,left,rb,0
KNN_5,left,right,0
KNN_5,left,rock,0
KNN_5,left,rt,0
KNN_5,left,scissors,0
KNN_5,left,thumb,0
KNN_5,left,up,0
KNN_5,leftrunning,clasp,0
KNN_5,leftrunning,down,0
KNN_5,leftrunning,home,0
KNN_5,leftrunning,lb,0
KNN_5,leftrunning,left,0
KNN_5,leftrunning,leftrunning,60
KNN_5,leftrunning,lt,0
KNN_5,leftrunning,paper,0
KNN_5,leftrunning,rb,0
KNN_5,leftrunning,right,0
KNN_5,leftrunning,rock,0
KNN_5,leftrunning,rt,0
KNN_5,leftrunning,scissors,0
KNN_5,leftrunning,thumb,0
KNN_5,leftrunning,up,0
KNN_5,lt,clasp,0
KNN_5,lt,down,0
KNN_5,lt,home,0
KNN_5,lt,lb,0
KNN_5,lt,left,0
KNN_5,lt,leftrunning,0
KNN_5,lt,lt,198
KNN_5,lt,paper,0
KNN_5,lt,rb,0
KNN_5,lt,right,0
KNN_5,lt,rock,0
KNN_5,lt,rt,0
KNN_5,lt,scissors,0
KNN_5,lt,thumb,0
KNN_5,lt,up,0
KNN_5,paper,clasp,0
KNN_5,paper,down,0
KNN_5,paper,home,0
KNN_5,paper,lb,2
KNN_5,paper,left,0
KNN_5,paper,leftrunning,1
KNN_5,paper,lt,0
KNN_5,paper,paper,138
KNN_5,paper,rb,3
KNN_5,paper,right,0
KNN_5,paper,rock,1
KNN_5,paper,rt,0
KNN_5,paper,scissors,0
KNN_5,paper,thumb,0
KNN_5,paper,up,0
KNN_5,rb,clasp,0
KNN_5,rb,down,0
KNN_5,rb,home,0
KNN_5,rb,lb,0
KNN_5,rb,left,0
KNN_5,rb,leftrunning,0
KNN_5,rb,lt,0
KNN_5,rb,paper,0
KNN_5,rb,rb,150
KNN_5,rb,right,0
KNN_5,rb,rock,0
KNN_5,rb,rt,0
KNN_5,rb,scissors,0
KNN_5,rb,thumb,0
KNN_5,rb,up,0
KNN_5,right,clasp,0
KNN_5,right,down,0
KNN_5,right,home,0
KNN_5,right,lb,0
KNN_5,right,left,0
KNN_5,right,leftrunning,0
KNN_5,right,lt,0
KNN_5,right,paper,0
KNN_5,right,rb,0
KNN_5,right,right,180
KNN_5,right,rock,0
KNN_5,right,rt,0
KNN_5,right,scissors,0
KNN_5,right,thumb,0
KNN_5,right,up,0
KNN_5,rock,clasp,0
KNN_5,rock,down,3
KNN_5,rock,home,0
KNN_5,rock,lb,0
KNN_5,rock,left,8
KNN_5,rock,leftrunning,1
KNN_5,rock,lt,0
KNN_5,rock,paper,0
KNN_5,rock,rb,0
KNN_5,rock,right,0
KNN_5,rock,rock,232
KNN_5,rock,rt,1
KNN_5,rock,scissors,3
KNN_5,rock,thumb,0
KNN_5,rock,up,2
KNN_5,rt,clasp,0
KNN_5,rt,down,0
KNN_5,rt,home,0
